ID,CAT_REF,DISTRICT_CODE,DISTRICT_NAME,MUN_CODE,MUN_NAME,CONST_CODE,CONST_NAME,SCOUNTY_CODE,SCOUNTY_NAME,PARISH_CODE,PARISH_NAME,ELECT_CODE,ELECT_NAME,SURNAME,OTHER_NAME,SEX,POLITICAL_P,SYMBOL,VALID_VOTES,WINNER,CATEGORY,locid,district,budgetcategory,goodnews,badnews,matchme,matched,locid2011,incumbentparty,incumbentparty2,incumbent,votes,winnervotes,totalvotes,winnerperc,perc,marginperc,runnerupperc,incumbentmargin,winnermargin
397,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,1,ADUMI,NA,,1,ADUMI,ABALAKA,ASUA LUKE,M,NRM,,,Unopposed,District/City Directly Elected Councillors,AYIVU COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,INDEPENDENT,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,2,AROI,NA,,2,AROI,SABO,KAMILO,M,NRM,,,Unopposed,District/City Directly Elected Councillors,AYIVU COUNTY2,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,3,OLUKO,NA,,3,OLUKO,AMAGURU,JOYCE,F,NRM,,,Unopposed,District/City Directly Elected Councillors,AYIVU COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,4,PAJULU,NA,,4,PAJULU,ANDRUA,NELSON,M,NRM,,"2,205",,District/City Directly Elected Councillors,AYIVU COUNTY4,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,2205,2940,5145,0.571428571,0.428571429,0.142857143,0.428571429,-0.142857143,0.142857143
401,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,4,PAJULU,NA,,4,PAJULU,EGUMA,PATRICK,M,INDEPENDENT,RADIO,"2,940",Winner,District/City Directly Elected Councillors,AYIVU COUNTY4,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,2940,2940,5145,0.571428571,0.571428571,0,0.428571429,0.142857143,0.142857143
402,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,5,MANIBE,NA,,5,MANIBE,DRAMADRI,STANISLUS SOPA,M,INDEPENDENT,SAUCEPAN,639,,District/City Directly Elected Councillors,AYIVU COUNTY5,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,639,1786,3430,0.520699708,0.186297376,0.334402332,0.293002915,-0.334402332,0.227696793
403,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,5,MANIBE,NA,,5,MANIBE,ERIBO,SAM,M,NRM,,"1,786",Winner,District/City Directly Elected Councillors,AYIVU COUNTY5,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,1786,1786,3430,0.520699708,0.520699708,0,0.293002915,0.227696793,0.227696793
404,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,5,MANIBE,NA,,5,MANIBE,JURUNI,JOSEPH OMBAYI,M,INDEPENDENT,BICYCLE,"1,005",Winner,District/City Directly Elected Councillors,AYIVU COUNTY5,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,1005,1786,3430,0.520699708,0.293002915,0.227696793,0.293002915,-0.227696793,0.227696793
405,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,6,DADAMU,NA,,6,DADAMU,AMAT,MOSES,M,NRM,,"2,107",,District/City Directly Elected Councillors,AYIVU COUNTY6,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,2107,2107,3039,0.693320171,0.693320171,0,0.306679829,0.386640342,0.386640342
406,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,6,DADAMU,NA,,6,DADAMU,ASIANZU,O. NOBERT,M,FDC,,932,,District/City Directly Elected Councillors,AYIVU COUNTY6,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,932,2107,3039,0.693320171,0.306679829,0.386640342,0.306679829,-0.386640342,0.386640342
407,DIST/DEC/2016,2,ARUA,NA,,7,AYIVU COUNTY,7,AYIVUNI,NA,,7,AYIVUNI,YIKITA,FAUSTINE OBIA,M,NRM,,,Unopposed,District/City Directly Elected Councillors,AYIVU COUNTY7,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,1,OFFAKA,NA,,1,OFFAKA,ABAU,FRANCIS,M,INDEPENDENT,RADIO,501,,District/City Directly Elected Councillors,UPPER MADI COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,501,1300,1992,0.652610442,0.251506024,0.401104418,0.251506024,-0.401104418,0.401104418
409,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,1,OFFAKA,NA,,1,OFFAKA,DRAZU,CHRISTOPHER,M,FDC,,191,,District/City Directly Elected Councillors,UPPER MADI COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,191,1300,1992,0.652610442,0.095883534,0.556726908,0.251506024,-0.556726908,0.401104418
410,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,1,OFFAKA,NA,,1,OFFAKA,MUROZI,BERNARD,M,NRM,,"1,300",Winner,District/City Directly Elected Councillors,UPPER MADI COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,1300,1300,1992,0.652610442,0.652610442,0,0.251506024,0.401104418,0.401104418
411,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,3,OKOLLO,NA,,3,OKOLLO,ACEMA,DRIA GENESIS,M,NRM,,"1,079",Winner,District/City Directly Elected Councillors,UPPER MADI COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,1079,1079,1871,0.576696954,0.576696954,0,0.423303046,0.153393907,0.153393907
412,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,3,OKOLLO,NA,,3,OKOLLO,ANDEDYE,JOSEPH,M,INDEPENDENT,BICYCLE,792,,District/City Directly Elected Councillors,UPPER MADI COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,792,1079,1871,0.576696954,0.423303046,0.153393907,0.423303046,-0.153393907,0.153393907
413,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,6,ULEPPI,NA,,6,ULEPPI,AKUA,EDWARD,M,NRM,,969,Winner,District/City Directly Elected Councillors,UPPER MADI COUNTY6,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,969,969,1579,0.613679544,0.613679544,0,0.288790374,0.32488917,0.32488917
414,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,6,ULEPPI,NA,,6,ULEPPI,ARUMADRI,GILBERT,M,FDC,,154,,District/City Directly Elected Councillors,UPPER MADI COUNTY6,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,154,969,1579,0.613679544,0.097530082,0.516149462,0.288790374,-0.516149462,0.32488917
415,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,6,ULEPPI,NA,,6,ULEPPI,EDEMA,EMANUEL,M,INDEPENDENT,CHAIR,456,,District/City Directly Elected Councillors,UPPER MADI COUNTY6,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,456,969,1579,0.613679544,0.288790374,0.32488917,0.288790374,-0.32488917,0.32488917
416,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,8,ANYIRIBU,NA,,8,ANYIRIBU,KATUNDAH,COXTON EMMANUEL,M,INDEPENDENT,BICYCLE,383,,District/City Directly Elected Councillors,UPPER MADI COUNTY8,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,383,739,1122,0.658645276,0.341354724,0.317290553,0.341354724,-0.317290553,0.317290553
417,DIST/DEC/2016,2,ARUA,NA,,9,UPPER MADI COUNTY,8,ANYIRIBU,NA,,8,ANYIRIBU,ONZIA,OLEMA SAM,M,NRM,,739,Winner,District/City Directly Elected Councillors,UPPER MADI COUNTY8,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,739,739,1122,0.658645276,0.658645276,0,0.341354724,0.317290553,0.317290553
418,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,1,AII-VU/AJIVU,NA,,1,AII-VU/AJIVU,BAYO,MICHAEL WENA,M,NRM,,"4,146",Winner,District/City Directly Elected Councillors,TEREGO WEST COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,4146,4146,6814,0.608453185,0.608453185,0,0.391546815,0.216906369,0.216906369
419,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,1,AII-VU/AJIVU,NA,,1,AII-VU/AJIVU,CANDIGA,VEN BOSCO,M,FDC,,"2,668",,District/City Directly Elected Councillors,TEREGO WEST COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,MULTIPLE MATCHES,NA,NA,NA,NA,2668,4146,6814,0.608453185,0.391546815,0.216906369,0.391546815,-0.216906369,0.216906369
420,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,2,BELEAFE,NA,,2,BELEAFE,KUBO,ONESMAS TIPA,M,NRM,,"1,578",,District/City Directly Elected Councillors,TEREGO WEST COUNTY2,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,1578,1642,3220,0.509937888,0.490062112,0.019875776,0.490062112,-0.019875776,0.019875776
421,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,2,BELEAFE,NA,,2,BELEAFE,OPIMA,GEOFREY,M,FDC,,"1,642",Winner,District/City Directly Elected Councillors,TEREGO WEST COUNTY2,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,1642,1642,3220,0.509937888,0.509937888,0,0.490062112,0.019875776,0.019875776
422,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,3,KATRINI,NA,,3,KATRINI,ATRIA,BARUCH,M,FDC,,"1,747",,District/City Directly Elected Councillors,TEREGO WEST COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,1747,2706,5004,0.540767386,0.349120703,0.191646683,0.349120703,-0.191646683,0.191646683
423,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,3,KATRINI,NA,,3,KATRINI,DRAMADRI,GEOFREY,M,INDEPENDENT,BALL,551,,District/City Directly Elected Councillors,TEREGO WEST COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,551,2706,5004,0.540767386,0.11011191,0.430655476,0.349120703,-0.430655476,0.191646683
424,DIST/DEC/2016,2,ARUA,NA,,11,TEREGO WEST COUNTY,3,KATRINI,NA,,3,KATRINI,ONDUMA,SULAIMAN,M,NRM,,"2,706",Winner,District/City Directly Elected Councillors,TEREGO WEST COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,2706,2706,5004,0.540767386,0.540767386,0,0.349120703,0.191646683,0.191646683
425,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,1,AJIA,NA,,1,AJIA,ANIKU,PETER,M,INDEPENDENT,CLOCK,650,,District/City Directly Elected Councillors,VURRA COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,650,1880,2530,0.743083004,0.256916996,0.486166008,0.256916996,-0.486166008,0.486166008
426,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,1,AJIA,NA,,1,AJIA,AYIKOBUA,COSMAS,M,NRM,,"1,880",Winner,District/City Directly Elected Councillors,VURRA COUNTY1,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,1880,1880,2530,0.743083004,0.743083004,0,0.256916996,0.486166008,0.486166008
427,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,2,ARIVU,NA,,2,ARIVU,CANDINI,LUIJI,M,NRM,,"2,206",Winner,District/City Directly Elected Councillors,VURRA COUNTY2,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,2206,2206,3416,0.645784543,0.645784543,0,0.354215457,0.291569087,0.291569087
428,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,2,ARIVU,NA,,2,ARIVU,ONDOGA,BENSON ALEX,M,INDEPENDENT,BICYCLE,"1,210",,District/City Directly Elected Councillors,VURRA COUNTY2,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,1210,2206,3416,0.645784543,0.354215457,0.291569087,0.354215457,-0.291569087,0.291569087
429,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,3,LOGIRI,NA,,3,LOGIRI,ALIONI,O. BONIFACE,M,NRM,,"2,609",Winner,District/City Directly Elected Councillors,VURRA COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,2609,2609,5039,0.517761461,0.517761461,0,0.482238539,0.035522921,0.035522921
430,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,3,LOGIRI,NA,,3,LOGIRI,BILIA,WILLIAM,M,INDEPENDENT,BALL,"2,430",,District/City Directly Elected Councillors,VURRA COUNTY3,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,2430,2609,5039,0.517761461,0.482238539,0.035522921,0.482238539,-0.035522921,0.035522921
431,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,4,VURRA,NA,,4,VURRA,ANGUNI,MOSES,M,FDC,,"1,321",,District/City Directly Elected Councillors,VURRA COUNTY4,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,1321,3168,4489,0.705725106,0.294274894,0.411450212,0.294274894,-0.411450212,0.411450212
432,DIST/DEC/2016,2,ARUA,NA,,12,VURRA COUNTY,4,VURRA,NA,,4,VURRA,ANGUYO,PARIYO DONALD,M,NRM,,"3,168",Winner,District/City Directly Elected Councillors,VURRA COUNTY4,ARUA,worse ,FALSE,TRUE,TRUE,NO CLOSE MATCH,NA,NA,NA,NA,3168,3168,4489,0.705725106,0.705725106,0,0.294274894,0.411450212,0.411450212
433,DIST/DEC/2016,2,ARUA,NA,,13,ARUA MUNICIPALITY,1,ARUA HILL,NA,,1,ARUA HILL,AFIDRA,HUBERT JUSTINE,M,NRM,,956,,District/City Directly Elected Councillors,ARUA MUNICIPALITY1,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,1,956,1211,2579,0.469561846,0.370686313,0.098875533,0.370686313,-0.098875533,0.098875533
434,DIST/DEC/2016,2,ARUA,NA,,13,ARUA MUNICIPALITY,1,ARUA HILL,NA,,1,ARUA HILL,BUGA,O. S MAYOR,M,FDC,,"1,211",Winner,District/City Directly Elected Councillors,ARUA MUNICIPALITY1,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,1211,1211,2579,0.469561846,0.469561846,0,0.370686313,0.098875533,0.098875533
435,DIST/DEC/2016,2,ARUA,NA,,13,ARUA MUNICIPALITY,1,ARUA HILL,NA,,1,ARUA HILL,ONZIMA,COLLINS,M,INDEPENDENT,RADIO,412,,District/City Directly Elected Councillors,ARUA MUNICIPALITY1,ARUA,worse ,FALSE,TRUE,TRUE,TRUE,NA,NRM,NA,0,412,1211,2579,0.469561846,0.159751842,0.309810004,0.370686313,-0.309810004,0.098875533
