qnum,muni,codeibge,codesetor,group,incumbent_wins,acc_status,ana_rank,data,hora_1,sex,age,politics_interest,turnout_2012,vote_2012,same_race_mayor,turnout_2014,vote_2014,partisan,muni_biggest_prob,politician_helped,edu_contas_rank,mayor_pid,govt_eval_baseline,acc_eval_baseline,uncertain_acc_baseline,edu_eval_baseline,uncertain_edu_baseline,tce_knowledge,ana_knowledge,child_school,confid_fedgov,confid_justice,confid_tce,confid_muni,acc_responsible,edu_responsible,prob_vote_buying,prob_vote_monitoring,prob_vote_count,info_welfare,source_cred1,acc_rejected_prior,tce_prior_cert,ana_prior,edu_prior_uncert,treat_quest,years_edu,race,religion,income,relative_wellbeing,pesq,hora_2,ana,accounts,acc_rejected,control,good_ana,good_accounts,female,edu_rank1,acc_rank1,info_corrupt_welfare1,source_cred1_survey,free_fair,acc_goodsurprise,acc_badsurprise,acc_nosurprise,list1,list2,carlos,flier,area1,area2,turnout,vote_choice,list_exp_vote,decision_factors,top3_1,top3_2,top3_3,govt_eval,pol_effort,pol_honesty,good_schools1,good_schools2,good_schools3,acc_rejected_posterior,ana_posterior,acc_backlash,ideb_heard,ideb_heard_from1,ideb_heard_from2,ideb_heard_from3,ideb_goal_met,received_flier,heard_others_flier,flier_openended1,flier_openended2,flier_openended3,vote_vig,uncertain_edu_eval,uncertain_acc_eval,uncertain_edu_open,uncertain_acc_open,edu_eval,acc_eval,vote_buying_list,vote_list,vig_treatment,valid_vote,vote_party,vote,vote_winner,vote_vig_strict,info_most_important,info_import,attrited,acc_correct,ana_correct,acc_anysurprise,competitiveness
11,Abreu e Lima,2600054,260005405000039,(3) Educação,0,APROVADO COM RESSALVA,6,909,950,Mulher,33,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,A administração das escolas municipais,1,5,Ruim,4,Regular,6,0,0,0,6,4,1,3,7,4,1,2,2,"O desempenho do prefeito em suas funções; por exemplo, quantas vezes por semana ele vai à prefeitura",Uma pessoa influente da sua comunidade,1,Seguro(a),20,Seguro(a),Não,4,Branca,Católica,"De R$ 1.320,01 até R$ 1.760,00",Igual,1,1005,1,0,0,0,1,0,1,1,0,0,0,4,1,0,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,1,3,2,Benefícios para a comunidade,Conversas com amigos ou familiares,NA,NA,3,2,2,Ter bom desempenho em avaliações nacionais,Ser escola de tempo integral,Ter professores bem formados,1,85,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,0,3,2,Investimento na educação,NA,4,3,0,1,1,1,PSB,1,1,0,0,NA,0,0,105,1,0.8245357040629051
12,Abreu e Lima,2600054,260005405000039,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,909,1015,Mulher,38,Pouco interessado(a),1,1,1,Sim,Marina Silva,1,Segurança/violência/criminalidade,0,A administração das escolas municipais,5,4,Regular,5,Ruim,3,1,0,1,5,5,4,6,5,7,3,3,2,Se ele consegue trazer benefícios e serviços para a população,Uma pessoa influente da sua comunidade,1,Seguro(a),5,Seguro(a),Não,7,Parda,Católica,"De R$ 1.320,01 até R$ 1.760,00",Igual,1,1033,0,1,0,0,0,0,1,1,0,0,0,5,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,escolas municipais,contas do município,1,2,2,Benefícios para a comunidade,O que aprendi durante a campanha sobre o atual prefeito,Conversas com amigos ou familiares,NA,2,2,1,Ter professores bem formados,Ter acesso a Internet,Ficar perto da sua casa,0,105,Sim,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,0,3,2,Falta de investimento na educação,NA,3,2,1,0,1,1,PMDB,0,0,0,1,1,0,1,85,1,0.8245357040629051
13,Abreu e Lima,2600054,260005405000039,(1) Controle,0,APROVADO COM RESSALVA,6,909,1105,Homem,35,Muito interessado(a),1,1,0,Sim,Aécio Neves,1,Saúde/hospitais/postos de saúde,1,A administração das escolas municipais,6,3,Regular,7,Regular,7,0,0,1,4,2,1,4,7,7,3,3,1,Se ele se envolveu em corrupção,Um político local,1,Seguro(a),49,Seguro(a),Não,11,Branca,Católica,"De R$ 880,01 até R$ 1.320,00",Igual,1,1120,0,0,0,1,1,0,0,1,0,1,0,4,1,0,0,NA,NA,NA,Educação,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8245357040629051
14,Abreu e Lima,2600054,260005405000039,(3) Educação,0,APROVADO COM RESSALVA,6,909,1217,Homem,20,Nada interessado(a),0,1,1,Não,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,5,4,Ruim,7,Regular,7,0,0,0,3,1,1,1,7,7,3,2,3,Se ele se envolveu em corrupção,Nenhuma [NÃO LER],1,Seguro(a),3,Seguro(a),Não,11,Branca,Evangélica Pentecostal,"De R$ 880,01 até R$ 1.320,00",Igual,1,1235,1,0,0,0,0,0,0,0,0,1,0,5,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,contas do município,escolas municipais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8245357040629051
15,Abreu e Lima,2600054,260005405000039,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,909,1153,Mulher,31,Muito interessado(a),0,1,0,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,7,4,Péssimo,7,Regular,7,0,0,0,4,3,1,4,1,1,3,3,1,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,1,Seguro(a),3,Seguro(a),Não,12,Parda,Católica,"De R$ 440,01 até R$ 880,00",Pior,1,1206,0,1,0,0,0,0,1,0,0,1,0,4,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,contas do município,escolas municipais,1,1,0,Benefícios para a comunidade,Conversas com amigos ou familiares,NA,NA,1,1,1,Ter professores bem formados,Ter bom desempenho em avaliações nacionais,Ter professores bem pagos,1,185,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,0,4,1,Má qualidade do ensino/Professores mau qualificados,Má administração das verbas públicas/Contas atrasadas/Dividas públicas,2,1,1,0,1,1,PDT,0,0,0,0,NA,0,0,5,1,0.8245357040629051
16,Abreu e Lima,2600054,260005405000039,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,909,1130,Mulher,22,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,7,4,Péssimo,7,Ruim,7,0,0,0,4,2,1,1,7,7,3,3,1,Se ele foi acusado de cometer algum crime,Outra,1,Seguro(a),17,Seguro(a),Não,8,Branca,Evangélica Pentecostal,"De R$ 880,01 até R$ 1.320,00",Igual,1,1143,0,1,0,0,1,0,1,0,0,0,0,4,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,contas do município,escolas municipais,1,1,2,Benefícios para a comunidade,Conversas com amigos ou familiares,Outro fator,NA,1,1,1,Ter professores bem formados,Ter acesso a Internet,Ter bom desempenho em avaliações nacionais,1,46,Não,Não,NA,NA,NA,Não,0,Não,NA,NA,NA,1,4,2,Falta de investimento na educação,Atraso no pagamento dos funcionários,1,1,1,1,0,1,PDT,0,0,0,0,NA,0,0,144,1,0.8245357040629051
17,Abreu e Lima,2600054,260005405000044,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,1109,1150,Mulher,50,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,1,3,Regular,7,Regular,7,0,0,0,5,1,1,1,7,7,3,1,3,Se ele foi acusado de cometer algum crime,Uma pessoa influente da sua comunidade,1,Seguro(a),16,Seguro(a),Não,5,Branca,Católica,"De R$ 440,01 até R$ 880,00",Melhor,1,1200,0,1,0,0,1,0,1,0,0,0,0,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
18,Abreu e Lima,2600054,260005405000044,(1) Controle,0,APROVADO COM RESSALVA,6,1109,1206,Mulher,18,Pouco interessado(a),0,1,0,Não,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,A administração das contas do município,1,4,Ruim,7,Ruim,6,0,0,0,1,1,1,1,1,1,4,4,1,Se ele se envolveu em corrupção,Um debate entre os candidatos,1,Seguro(a),16,Seguro(a),Não,11,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Igual,1,1216,0,0,0,1,1,0,1,0,1,1,0,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
19,Abreu e Lima,2600054,260005405000044,(3) Educação,0,APROVADO COM RESSALVA,6,1109,1220,Homem,38,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,Saúde/hospitais/postos de saúde,0,A administração das escolas municipais,7,5,Péssimo,7,Péssimo,1,0,0,1,2,1,1,3,4,1,3,4,2,"O desempenho do prefeito em suas funções; por exemplo, quantas vezes por semana ele vai à prefeitura",Um político local,1,Seguro(a),16,Seguro(a),Não,5,Parda,Mórmon,"De R$ 880,01 até R$ 1.320,00",Pior,1,1231,1,0,0,0,1,0,0,1,0,0,0,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
20,Abreu e Lima,2600054,260005405000044,(1) Controle,0,APROVADO COM RESSALVA,6,1109,1236,Homem,50,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,1,Segurança/violência/criminalidade,0,Igualmente importantes,6,4,Ruim,5,Ruim,5,0,0,1,4,1,1,2,7,4,3,4,2,Se ele consegue trazer benefícios e serviços para a população,Um debate entre os candidatos,1,Seguro(a),17,Seguro(a),Não,6,Preta,Católica,"De R$ 880,01 até R$ 1.320,00",Igual,1,1245,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
21,Abreu e Lima,2600054,260005405000044,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,1109,1250,Mulher,36,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,1,Igualmente importantes,1,4,Regular,7,Regular,7,0,0,1,6,5,4,4,5,4,3,3,1,Se ele se envolveu em corrupção,Um político local,1,Seguro(a),16,Seguro(a),Não,8,Preta,Católica,"De R$ 880,01 até R$ 1.320,00",Pior,1,1300,0,1,0,0,1,0,1,0,0,1,0,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
22,Abreu e Lima,2600054,260005405000044,(3) Educação,0,APROVADO COM RESSALVA,6,1109,1304,Homem,35,Muito interessado(a),1,1,0,Sim,Marina Silva,1,Pobreza/miséria,0,Igualmente importantes,1,4,Ruim,6,Regular,5,0,0,1,5,1,1,1,6,6,3,1,2,Se ele se envolveu em corrupção,Um debate entre os candidatos,1,Seguro(a),16,Seguro(a),Não,11,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Melhor,1,1315,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
23,Abreu e Lima,2600054,260005405000044,(1) Controle,0,APROVADO COM RESSALVA,6,1109,1320,Homem,50,Muito interessado(a),1,1,0,Sim,Dilma Rousseff,1,Saúde/hospitais/postos de saúde,0,A administração das escolas municipais,7,4,Ruim,7,Ruim,7,0,0,0,5,4,4,4,3,3,3,1,1,Se ele se envolveu em corrupção,Um político local,1,Seguro(a),57,Seguro(a),Não,9,Parda,Católica,"De R$ 440,01 até R$ 880,00",Igual,1,1331,0,0,0,1,1,0,0,1,0,1,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8245357040629051
